half_width,barrier_meV,dE_3Q_minus_strip_meV,n_defect_bonds,saddle_image,iterations,valid
0.5,0.0,-38.562,141,0,2401,0
0.75,16.63766301283249,14.247,177,21,2401,0
1.0,9.41774826413166,-28.325,247,8,2771,1
1.25,27.19337152118169,26.03,283,23,2401,0
1.5,11.28375742060598,-19.395,353,10,2401,1
1.75,31.514484920833638,31.514,389,24,2401,0
2.0,16.29723837714846,-16.658,459,10,2859,1
2.25,31.85497608019432,31.057,495,22,2412,0
2.5,16.29600278889484,-12.948,565,10,2401,1
2.75,34.53090508943933,33.186,601,22,2401,0
3.0,17.35006351046104,-11.537,671,10,3292,1
