J7,lambda_K2,E0,r3,switched
-0.4,0.01,30.0,0.0005527590329633891,1
-0.4,0.01,20.0,0.001301264009936471,1
-0.4,0.015,34.0,0.003291207121561925,1
-0.4,0.04,20.0,0.9692183078453824,0
-0.4,0.02,20.0,0.04983097526924517,1
-0.4,0.015,38.0,0.0013015719813384299,1
-0.4,0.015,20.0,0.002386777701276768,1
-0.4,0.03,12.0,0.9691937211001462,0
-0.4,0.01,34.0,0.0001244569803958394,1
-0.4,0.01,22.0,0.0013015093304616034,1
-0.4,0.04,38.0,0.10100776819131396,1
-0.4,0.02,12.0,0.969220928347098,0
-0.4,0.045,12.0,0.969156599886985,0
-0.4,0.01,18.0,0.0013016423754046086,1
-0.4,0.025,16.0,0.9692351532875813,0
-0.4,0.015,26.0,0.0038105095722734588,1
-0.4,0.015,14.0,0.9692138626844776,0
-0.4,0.01,16.0,0.0013014499376630552,1
-0.4,0.045,38.0,0.9692669632801275,0
-0.4,0.01,38.0,0.0007659775488194469,1
-0.4,0.015,12.0,0.9691851118610569,0
-0.4,0.02,38.0,0.0028127028151037157,1
-0.4,0.035,16.0,0.969213195787439,0
-0.4,0.045,20.0,0.969196288321197,0
-0.4,0.01,28.0,0.0005527447222628743,1
-0.4,0.025,38.0,0.0028127953186776115,1
-0.4,0.02,18.0,0.9692459632139109,0
-0.4,0.02,24.0,0.0038104891038790154,1
-0.4,0.025,18.0,0.9692599222278617,0
-0.4,0.01,26.0,0.0013016257658734498,1
-0.4,0.015,28.0,0.0028126682595549417,1
-0.4,0.045,28.0,0.9692320043244901,0
-0.4,0.035,26.0,0.9692705555126455,0
-0.4,0.025,22.0,0.9692753091361557,0
-0.4,0.01,24.0,0.0010154072238494386,1
-0.4,0.025,30.0,0.005823086562313771,1
-0.4,0.04,34.0,0.969280294345144,0
-0.4,0.035,28.0,0.9692811433365022,0
-0.4,0.015,18.0,0.0023868924524435894,1
-0.4,0.04,22.0,0.969227878935395,0
-0.4,0.04,26.0,0.969247918395137,0
-0.4,0.045,14.0,0.9691658167063862,0
-0.4,0.03,20.0,0.9692515979705992,0
-0.4,0.035,30.0,0.9692877753804608,0
