lattice,dtype,strength,half_width,e0,sigma_k,seed,label,final_r3,final_zz_frac,final_zz_on_band_density,final_zz_off_band_density,final_zz_on_band_pct,final_pinning_enrichment,quench_r3,quench_zz_frac,quench_zz_on_band_density,quench_zz_off_band_density,quench_zz_on_band_pct,quench_pinning_enrichment,written,pinned_written
36,kred,0.5,2.0,12.0,0.1,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E12p00_sig0p100_seed000,0.0026875067752594635,0.0,0.0,0.0,0.0,0.0,0.0026875067752440344,0.0,0.0,0.0,0.0,0.0,0,0
36,kred,0.5,2.0,13.0,0.0,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E13p00_sig0p000_seed000,8.671442294663153e-05,0.004243827160493827,0.0,0.005268199233716475,0.0,0.0,8.67144229511159e-05,0.004243827160493827,0.0,0.005268199233716475,0.0,0.0,0,0
36,kred,0.5,2.0,12.5,0.1,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E12p50_sig0p100_seed000,0.0026875067752668708,0.0,0.0,0.0,0.0,0.0,0.0026875067752440383,0.0,0.0,0.0,0.0,0.0,0,0
36,kred,0.5,2.0,12.0,0.1,1,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E12p00_sig0p100_seed001,0.00022501077053861237,0.0019290123456790122,0.003968253968253968,0.0014367816091954023,40.0,2.761904761904762,0.00022501077054567717,0.0019290123456790122,0.003968253968253968,0.0014367816091954023,40.0,2.761904761904762,0,0
36,kred,0.5,2.0,9.0,0.1,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E9p00_sig0p100_seed000,0.0026875067752308154,0.0,0.0,0.0,0.0,0.0,0.002687506775244038,0.0,0.0,0.0,0.0,0.0,0,0
36,kred,0.5,2.0,13.0,0.1,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E13p00_sig0p100_seed000,0.002687506775275279,0.0,0.0,0.0,0.0,0.0,0.0026875067752440444,0.0,0.0,0.0,0.0,0.0,0,0
36,kred,0.5,2.0,19.0,0.0,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E19p00_sig0p000_seed000,8.671442290833618e-05,0.004243827160493827,0.0,0.005268199233716475,0.0,0.0,8.671442295112802e-05,0.004243827160493827,0.0,0.005268199233716475,0.0,0.0,0,0
36,kred,0.5,2.0,0.0,0.1,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E0p00_sig0p100_seed000,0.0026875067752162554,0.0,0.0,0.0,0.0,0.0,0.0026875067752440292,0.0,0.0,0.0,0.0,0.0,0,0
36,kred,0.5,2.0,8.0,0.1,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E8p00_sig0p100_seed000,0.0026875067752258025,0.0,0.0,0.0,0.0,0.0,0.0026875067752440327,0.0,0.0,0.0,0.0,0.0,0,0
36,kred,0.5,2.0,17.0,0.1,1,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E17p00_sig0p100_seed001,0.00022501077050455208,0.0019290123456790122,0.003968253968253968,0.0014367816091954023,40.0,2.761904761904762,0.00022501077054562198,0.0019290123456790122,0.003968253968253968,0.0014367816091954023,40.0,2.761904761904762,0,0
36,kred,0.5,2.0,20.0,0.0,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E20p00_sig0p000_seed000,8.671442289559274e-05,0.004243827160493827,0.0,0.005268199233716475,0.0,0.0,8.671442295113681e-05,0.004243827160493827,0.0,0.005268199233716475,0.0,0.0,0,0
36,kred,0.5,2.0,20.0,0.1,3,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E20p00_sig0p100_seed003,0.0010332862816133637,0.020061728395061727,0.0496031746031746,0.01293103448275862,48.07692307692308,3.835978835978836,0.0010332862813011874,0.020061728395061727,0.0496031746031746,0.01293103448275862,48.07692307692308,3.835978835978836,0,0
36,kred,0.5,2.0,14.0,0.1,2,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E14p00_sig0p100_seed002,0.0008352172751636299,0.018132716049382717,0.037698412698412696,0.013409961685823755,40.42553191489362,2.811224489795918,0.0008352172751024184,0.018132716049382717,0.037698412698412696,0.013409961685823755,40.42553191489362,2.811224489795918,0,0
