coupling,theta_deg,e0,r3,switched
j7off,0.0,8.0,0.9691653225247746,0
j7off,37.5,38.0,0.004375854551404738,1
j7off,37.5,30.0,0.9692281344116909,0
j7off,15.0,22.0,0.10589952754836565,1
j7off,7.5,38.0,0.001625238647646412,1
j7off,30.0,38.0,0.15440037990506433,1
j7off,15.0,24.0,0.06073343022562441,1
j7off,22.5,24.0,0.969327715503275,0
j7off,7.5,16.0,0.9692548501385448,0
j7off,7.5,4.0,0.9691427790843238,0
j7off,0.0,26.0,0.0032912167171086195,1
j7off,0.0,16.0,0.9692409704311344,0
j7off,7.5,10.0,0.9691907530844207,0
j7off,0.0,24.0,0.0038104891057592267,1
j7off,22.5,28.0,0.12852008325671754,1
j7off,0.0,38.0,0.0028127028169098963,1
j7off,15.0,6.0,0.9691952898997569,0
j7off,7.5,8.0,0.9691725916578264,0
j7off,7.5,14.0,0.969255991052725,0
j7off,30.0,18.0,0.9692915637265913,0
j7off,30.0,4.0,0.9691806887805401,0
j7off,15.0,34.0,0.0013016289107763645,1
j7off,37.5,14.0,0.9692693779229705,0
j7off,30.0,34.0,0.9692152111091049,0
j7off,15.0,18.0,0.9692763328067293,0
j7off,37.5,16.0,0.9692750800604091,0
j7off,22.5,18.0,0.9692878696397687,0
j7off,22.5,30.0,0.0632151286688646,1
j7off,22.5,22.0,0.9693196447235126,0
j7off,22.5,4.0,0.9691719979254416,0
j7off,0.0,28.0,0.0032910801218100777,1
j7off,30.0,8.0,0.9691955145882107,0
j7off,15.0,12.0,0.9692501275536131,0
j7off,37.5,10.0,0.9692321441866274,0
j7off,30.0,20.0,0.9693079890306787,0
j7off,0.0,12.0,0.9692209283953747,0
j7off,7.5,18.0,0.969260691880999,0
j7off,30.0,6.0,0.9692006957312254,0
j7off,30.0,12.0,0.9692622307522221,0
j7off,37.5,12.0,0.9692631766811358,0
j7off,15.0,28.0,0.017338034020324477,1
j7off,15.0,30.0,0.02314336694497083,1
j7off,7.5,24.0,0.00198688532575906,1
j7off,22.5,10.0,0.9692188889571665,0
j7off,22.5,14.0,0.969268919758947,0
j7off,7.5,12.0,0.9692371615246669,0
j7off,15.0,4.0,0.9691591020077084,0
j7off,7.5,22.0,0.0023872469877848994,1
j7off,0.0,6.0,0.9691786827808087,0
j7off,30.0,30.0,0.012445741602896876,1
j7off,22.5,38.0,0.18457327574717725,1
j7off,37.5,26.0,0.969322568067984,0
j7off,22.5,16.0,0.9692736447825814,0
j7off,30.0,24.0,0.9693259598367204,0
j7off,7.5,28.0,0.0016252303449675405,1
j7off,37.5,18.0,0.9692889098803946,0
j7off,22.5,6.0,0.9691985396566679,0
j7off,15.0,8.0,0.9691802608322095,0
j7off,15.0,26.0,0.01870709539633812,1
j7off,22.5,34.0,0.9691879743898051,0
j7off,37.5,34.0,0.2342130156612172,0
j7off,37.5,22.0,0.9693123002865004,0
j7off,15.0,20.0,0.9692969325755362,0
j7off,0.0,10.0,0.9691794743438527,0
j7off,0.0,30.0,0.0028265013420107274,1
j7off,22.5,8.0,0.9691884853195905,0
j7off,30.0,22.0,0.9693184423855927,0
j7off,37.5,4.0,0.969185140630816,0
j7off,30.0,28.0,0.969174739276998,0
j7off,15.0,10.0,0.9692053787189601,0
j7off,30.0,10.0,0.9692279387143458,0
